날짜,건물,호실,시간,예약부서,용도,승인상태
2026-09-14,본관,201호,10:00-12:00,기획과,부서장 회의,승인
2026-09-14,공학관,105호,13:00-15:00,학사과,수강신청 설명회,승인
2026-09-15,본관,대회의실,09:00-12:00,총무과,직원 안전교육,승인
2026-09-15,인문관,302호,14:00-16:00,국제협력과,교환학생 오리엔테이션,대기
2026-09-16,학생회관,세미나실A,10:00-13:00,학생과,동아리 대표자 회의,승인
2026-09-16,본관,201호,15:00-17:00,홍보과,보도자료 기획회의,승인
2026-09-17,공학관,105호,09:00-11:00,시설지원과,소방점검 사전회의,승인
2026-09-17,도서관,미디어룸,13:00-17:00,장학복지과,장학금 면접,대기
2026-09-18,본관,대회의실,10:00-12:00,재무과,예산 조정회의,승인
2026-09-18,인문관,302호,16:00-18:00,연구윤리팀,연구윤리 교육,승인
,,,,,,※ AI 리터러시 교육 실습용 가상 자료입니다. 실제 기관·인물과 무관합니다.
